Date,Time,BTC_Rate_CHF,USD_Rate_CHF,NOVN_Rate_CHF,Equity_Val_CHF,Fiat_Val_CHF,Crypto_Val_CHF,Portfolio_Current_CHF,Portfolio_Basis_CHF,Return_CHF
2026-06-29,11:14:33,48387.08222819710678333,0.8087762652424132,125.26,1252.60,2426.33,4838.71,8517.64,8100.00,417.64
2026-06-29,11:15:04,48400.749026149245848682,0.8087797536509908,125.26,1252.60,2426.34,4840.07,8519.01,8100.00,419.01
